,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,"GIFTS, BEQUESTS,FAVORS OR LOANS TYPE","GIFTS, BEQUESTS,FAVORS OR LOANS DONER OR LENDER","GIFTS, BEQUESTS,FAVORS OR LOANS ESTIMATED VALUE",year
131,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,2D MORTGAGE PURCHASE LOAD 11/15/06 AND RELATED PURHASE/REPAIR 7/2/07,TERRENCE B. MAGRATH,38714,2011
132,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN 10/13/06,LAURIE C. CHAPBELL,15000,2011
133,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN ,HUGH SCOTT,31000,2011
134,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN 5/31/07,CAROLE RUBENSTIEN,5000,2011
135,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/12,LOAN 7/14/07,JACK W. RIZIKA,6000,2011
136,FREDERICK L. BROWN,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/5/16,NA,NA,NA,2011
137,JUDD J. CARHART,MASS APPEALS COURT,JUDGE,John Adams Courthouse,2012/3/31,NA,NA,NA,2011
138,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/24,NA,NA,NA,2011
139,ANDRE A. GELINAS,MASS APPEALS COURT,"ASSOC. JUSTICE, RECALL",JOHNADAMS COURTHOUSE SUITE3500 ONE PEMBERTON SQ BOSTON MA 02108,2012/5/4,NA,NA,NA,2011
140,HON. ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,John Adams Courthouse,2012/4/27,NA,NA,NA,2011
141,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,One Pemberton Square,2012/1/10,NA,NA,NA,2011
142,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"One Pemberton Square, SUITE 3-500",2012/2/7,NA,NA,NA,2011
143,SYDNEY HANLON,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/4/13,NA,NA,NA,2011
144,SCOTT L. KATKER,MASS APPEALS COURT,ASSOC. JUSTICE,"One Pemberton Square,",2012/4/11,NA,NA,NA,2011
145,R. MARC KANTROWITZ,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/25,NA,NA,NA,2011
146,JAMES F. MCHUGH,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2012/3/14,NA,NA,NA,2011
147,WILLIAM J. MEADE,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02109,2012/1/27,NA,NA,NA,2011
