,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,TOTAL AMOUNT RECEIVED (IN DOLLARS),EXTRA-JUDICIAL SERVICES DATE,PLACE,EXTRA-JUDICIAL SERVICES NATURE,EXTRA-JUDICIAL SERVICES PAYOR, AMOUNT,year
101,PHILLIP RAPOZA,MASS APPEALS COURT,CHIEF JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2010/4/15,44200,AUG 1-OCT 13,"EAST TIMOR, UNITED STATES",CONSULTANT-ASSESSMENT OF TIMORESE JUSTICE SYSTEM,UNITED NATIONS,44200,2009
102,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/15,50000,JAN 5-9,GEORGETOWN UNIV.,TEACHING,GEORGETOWN UNIV.,12500,2009
103,PETER J. RUBIN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/4/15,50000,SEP-DEC,GEORGETOWN UNIV.,TEACHING,GEORGETOWN UNIV.,37500,2009
104,"MITCHELL J. SIKORA, JR.",MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/28,NA,NA,NA,NA,NA,NA,2009
105,RENT B. SMITH,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/5,12824.22,"FEB, MAR, AUG, SEP",LONGMENDOW,ROYALTIES,WEST-THOMSON,12824.22,2009
106,JOSEFH A. TRAINOR,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/3/23,3250,8/09-12/09,MASS SCHOOL OF LAW,LAW COURSE,MASS SCHOOL OF LAW,3250,2009
107,GABRIELLE R. WOLOHOJIAN,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2010/2/1,NA,NA,NA,NA,NA,NA,2009
108,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/3/8,43750,1/1/10 - 12/31/10,NEW ENGLAND LAW,TEACHING / LECTURING,NEW ENGLAND LAW,40000,2010
109,ROBERT J. CORDY,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/3/8,43750,6/15/10 - 7/8/10,Tufts/Fletcher School ,LECTURE,TUFTS,3750,2010
110,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2011/4/11,24827,ALL 2010,NORTHEASTER UNIV.,LECTURE,NEU,20650,2010
111,RODERICK IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2011/4/11,24827,NA,THOMSON-WEST PUBLISHING,AUTHOR,THOMSON-WEST,4177,2010
112,RALPH D. GANTS,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/11,NA,NA,NA,NA,NA,NA,2010
113,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/2/13,NA,NA,NA,NA,NA,NA,2010
114,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/13,9000,SPRING 2010,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK LAW SCHOOL,5000,2010
115,JANICE M. BENNY,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/13,9000,FALL2011,NORTHEASTERN LAW SCHOOL,TEACHING,NORTHEASTERN LAW SCHOOL,4000,2010
116,JUDD J. CARHART,MASS APPEALS COURT,JUDGE,JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108,2011/3/19,11770,2010 YEAR,UNIV. OF MASS.,ADJUNCT PROFESSOR,UNIV. OF MASS.,11770,2010
117,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOC. JUSTICE,JOHNADAMS COURTHOUSE ONE PEMBERTON SQ BOSTON MA 02108,2011/3/6,NA,NA,NA,NA,NA,NA,2010
118,FRANCIS R. FECTEAU,MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/2/12,NA,NA,NA,NA,NA,NA,2010
119,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/8,4000,JAN / FEB ,"BOSTON, MA",APPEAR-CELTIC LEGEND,BOSTON CELTICS,1000,2010
120,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/8,4000,FEB / MAR,NA,NA,NA,1000,2010
121,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/8,4000,MAR / APR,NA,NA,NA,1000,2010
122,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1750",2011/4/8,4000,APR,NA,NA,NA,1000,2010
123,ANDREW GRAINGER,MASS APPEALS COURT,ASSOC. JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1751",2011/2/1,NA,NA,NA,NA,NA,NA,2010
124,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,"ONE PEMBERTON SQ. BOSTON, MA 02108-1752",2011/2/14,28131.92,JAN-APR,BOSTON UNIV. LAW SCHOOL,TEACHING,B.U.,8900,2010
